Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000000003	ENSG00000000003.10	99883667	99894988	X	TSPAN6
ENSG00000000005	ENSG00000000005.5	99839799	99854882	X	TNMD
ENSG00000000419	ENSG00000000419.8	49551404	49575092	20	DPM1
ENSG00000000457	ENSG00000000457.9	169818772	169863408	1	SCYL3
ENSG00000000460	ENSG00000000460.12	169631245	169823221	1	C1orf112
ENSG00000000938	ENSG00000000938.8	27938575	27961788	1	FGR
ENSG00000000971	ENSG00000000971.11	196621008	196716634	1	CFH
ENSG00000001036	ENSG00000001036.9	143815948	143832827	6	FUCA2
ENSG00000001084	ENSG00000001084.6	53362139	53481768	6	GCLC
ENSG00000001167	ENSG00000001167.10	41040684	41067715	6	NFYA
ENSG00000001460	ENSG00000001460.13	24683489	24743424	1	STPG1
ENSG00000001461	ENSG00000001461.12	24742284	24799466	1	NIPAL3
ENSG00000001497	ENSG00000001497.12	64732462	64754655	X	LAS1L
ENSG00000001561	ENSG00000001561.6	46097730	46114436	6	ENPP4
ENSG00000001617	ENSG00000001617.7	50192478	50226508	3	SEMA3F
ENSG00000001626	ENSG00000001626.10	117105838	117356025	7	CFTR
ENSG00000001629	ENSG00000001629.5	91875548	92030698	7	ANKIB1
ENSG00000001630	ENSG00000001630.11	91741465	91772266	7	CYP51A1
ENSG00000001631	ENSG00000001631.10	91828283	91875480	7	KRIT1
ENSG00000002016	ENSG00000002016.12	1021243	1099219	12	RAD52
ENSG00000002079	ENSG00000002079.8	98836417	98908753	7	MYH16
ENSG00000002330	ENSG00000002330.9	64037302	64052176	11	BAD
ENSG00000002549	ENSG00000002549.8	17578815	17609595	4	LAP3
ENSG00000002586	ENSG00000002586.13	2609220	2659350	X	CD99
ENSG00000002587	ENSG00000002587.5	11394774	11431389	4	HS3ST1
ENSG00000002726	ENSG00000002726.15	150521715	150558592	7	AOC1
ENSG00000002745	ENSG00000002745.8	120965421	120981158	7	WNT16
ENSG00000002746	ENSG00000002746.10	43152198	43605600	7	HECW1
ENSG00000002822	ENSG00000002822.11	1855429	2272878	7	MAD1L1
ENSG00000002834	ENSG00000002834.13	37026112	37078023	17	LASP1
ENSG00000002919	ENSG00000002919.10	46180719	46200436	17	SNX11
ENSG00000002933	ENSG00000002933.3	150497491	150502208	7	TMEM176A
ENSG00000003056	ENSG00000003056.3	9092959	9102551	12	M6PR
ENSG00000003096	ENSG00000003096.9	117031776	117251303	X	KLHL13
ENSG00000003137	ENSG00000003137.4	72356367	72375167	2	CYP26B1
ENSG00000003147	ENSG00000003147.13	8152814	8302317	7	ICA1
ENSG00000003249	ENSG00000003249.9	90071273	90086536	16	DBNDD1
ENSG00000003393	ENSG00000003393.10	202565277	202645912	2	ALS2
ENSG00000003400	ENSG00000003400.10	202047604	202094129	2	CASP10
ENSG00000003402	ENSG00000003402.15	201980827	202041410	2	CFLAR
ENSG00000003436	ENSG00000003436.10	188328957	188430487	2	TFPI
ENSG00000003509	ENSG00000003509.11	37458774	37480546	2	NDUFAF7
ENSG00000003756	ENSG00000003756.12	50126341	50156454	3	RBM5
ENSG00000003987	ENSG00000003987.9	17155539	17271037	8	MTMR7
ENSG00000003989	ENSG00000003989.12	17354597	17428082	8	SLC7A2
ENSG00000004059	ENSG00000004059.6	127228399	127231759	7	ARF5
ENSG00000004139	ENSG00000004139.9	26691378	26728065	17	SARM1
ENSG00000004142	ENSG00000004142.7	26673659	26684545	17	POLDIP2
ENSG00000004399	ENSG00000004399.8	129274018	129325661	3	PLXND1
ENSG00000004455	ENSG00000004455.12	33473585	33546597	1	AK2
ENSG00000004468	ENSG00000004468.8	15779898	15854853	4	CD38
ENSG00000004478	ENSG00000004478.5	2904119	2914576	12	FKBP4
ENSG00000004487	ENSG00000004487.11	23345941	23410182	1	KDM1A
ENSG00000004534	ENSG00000004534.10	49977440	50137478	3	RBM6
ENSG00000004660	ENSG00000004660.10	3763609	3798185	17	CAMKK1
ENSG00000004700	ENSG00000004700.11	21621845	21654603	12	RECQL
ENSG00000004766	ENSG00000004766.11	92861653	92988338	7	CCDC132
ENSG00000004776	ENSG00000004776.7	36245469	36248980	19	HSPB6
ENSG00000004777	ENSG00000004777.14	36265434	36279724	19	ARHGAP33
ENSG00000004779	ENSG00000004779.5	23592323	23607677	16	NDUFAB1
ENSG00000004799	ENSG00000004799.7	95212811	95225803	7	PDK4
ENSG00000004809	ENSG00000004809.9	110745890	110797844	6	SLC22A16
ENSG00000004838	ENSG00000004838.9	50378541	50384283	3	ZMYND10
ENSG00000004846	ENSG00000004846.12	20654830	20816658	7	ABCB5
ENSG00000004848	ENSG00000004848.6	25021811	25034065	X	ARX
ENSG00000004864	ENSG00000004864.9	95749532	95951459	7	SLC25A13
ENSG00000004866	ENSG00000004866.14	116593292	116870157	7	ST7
ENSG00000004897	ENSG00000004897.7	45195069	45266788	17	CDC27
ENSG00000004939	ENSG00000004939.9	42325753	42345509	17	SLC4A1
ENSG00000004948	ENSG00000004948.9	93053799	93204042	7	CALCR
ENSG00000004961	ENSG00000004961.10	11129421	11141198	X	HCCS
ENSG00000004975	ENSG00000004975.7	7128660	7137864	17	DVL2
ENSG00000005001	ENSG00000005001.5	2902728	2908171	16	PRSS22
ENSG00000005007	ENSG00000005007.8	18942747	18979045	19	UPF1
ENSG00000005020	ENSG00000005020.8	26706681	27034858	7	SKAP2
ENSG00000005022	ENSG00000005022.5	118602363	118605282	X	SLC25A5
ENSG00000005059	ENSG00000005059.11	110481361	110609874	4	CCDC109B
ENSG00000005073	ENSG00000005073.5	27221129	27224842	7	HOXA11
ENSG00000005075	ENSG00000005075.11	102113565	102119354	7	POLR2J
ENSG00000005100	ENSG00000005100.8	5344232	5372380	17	DHX33
ENSG00000005102	ENSG00000005102.8	41717756	41739322	17	MEOX1
ENSG00000005108	ENSG00000005108.11	11409984	11871824	7	THSD7A
ENSG00000005156	ENSG00000005156.7	33307513	33332083	17	LIG3
ENSG00000005175	ENSG00000005175.5	48057070	48099844	12	RPAP3
ENSG00000005187	ENSG00000005187.7	20621565	20808903	16	ACSM3
ENSG00000005189	ENSG00000005189.15	20817751	20860987	16	AC004381.6
ENSG00000005194	ENSG00000005194.10	57462081	57481440	16	CIAPIN1
ENSG00000005206	ENSG00000005206.12	2328614	2355099	19	SPPL2B
ENSG00000005238	ENSG00000005238.15	35104109	35116338	9	FAM214B
ENSG00000005243	ENSG00000005243.5	46103533	46115392	17	COPZ2
ENSG00000005249	ENSG00000005249.8	106685094	106802256	7	PRKAR2B
ENSG00000005302	ENSG00000005302.13	11776278	11793870	X	MSL3
ENSG00000005339	ENSG00000005339.8	3775055	3930727	16	CREBBP
ENSG00000005379	ENSG00000005379.11	56378592	56406152	17	BZRAP1
ENSG00000005381	ENSG00000005381.6	56347217	56358296	17	MPO
ENSG00000005421	ENSG00000005421.4	94926988	95025673	7	PON1
ENSG00000005436	ENSG00000005436.9	75879126	75938115	2	GCFC2
ENSG00000005448	ENSG00000005448.12	74648805	74652882	2	WDR54
ENSG00000005469	ENSG00000005469.7	86974997	87029111	7	CROT
ENSG00000005471	ENSG00000005471.11	87031013	87109751	7	ABCB4
ENSG00000005483	ENSG00000005483.15	104654626	104754808	7	KMT2E
