Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name
ENSMUSG00000064372	ENSMUSG00000064372.1	MT	15356	15422	mt-Tp
ENSMUSG00000064371	ENSMUSG00000064371.1	MT	15289	15355	mt-Tt
ENSMUSG00000064370	ENSMUSG00000064370.1	MT	14145	15288	mt-Cytb
ENSMUSG00000064369	ENSMUSG00000064369.1	MT	14071	14139	mt-Te
ENSMUSG00000064368	ENSMUSG00000064368.1	MT	13552	14070	mt-Nd6
ENSMUSG00000064367	ENSMUSG00000064367.1	MT	11742	13565	mt-Nd5
ENSMUSG00000064366	ENSMUSG00000064366.1	MT	11671	11741	mt-Tl2
ENSMUSG00000064365	ENSMUSG00000064365.1	MT	11613	11671	mt-Ts2
ENSMUSG00000064364	ENSMUSG00000064364.1	MT	11546	11612	mt-Th
ENSMUSG00000064363	ENSMUSG00000064363.1	MT	10167	11544	mt-Nd4
ENSMUSG00000065947	ENSMUSG00000065947.3	MT	9877	10173	mt-Nd4l
ENSMUSG00000064361	ENSMUSG00000064361.1	MT	9808	9875	mt-Tr
ENSMUSG00000064360	ENSMUSG00000064360.1	MT	9459	9806	mt-Nd3
ENSMUSG00000064359	ENSMUSG00000064359.1	MT	9391	9458	mt-Tg
ENSMUSG00000064358	ENSMUSG00000064358.1	MT	8607	9390	mt-Co3
ENSMUSG00000064357	ENSMUSG00000064357.1	MT	7927	8607	mt-Atp6
ENSMUSG00000064356	ENSMUSG00000064356.3	MT	7766	7969	mt-Atp8
ENSMUSG00000064355	ENSMUSG00000064355.1	MT	7700	7764	mt-Tk
ENSMUSG00000064354	ENSMUSG00000064354.1	MT	7013	7696	mt-Co2
ENSMUSG00000064353	ENSMUSG00000064353.1	MT	6942	7011	mt-Td
ENSMUSG00000064352	ENSMUSG00000064352.1	MT	6870	6938	mt-Ts1
ENSMUSG00000064351	ENSMUSG00000064351.1	MT	5328	6872	mt-Co1
ENSMUSG00000064350	ENSMUSG00000064350.1	MT	5260	5326	mt-Ty
ENSMUSG00000064349	ENSMUSG00000064349.1	MT	5192	5257	mt-Tc
ENSMUSG00000064348	ENSMUSG00000064348.1	MT	5089	5159	mt-Tn
ENSMUSG00000064347	ENSMUSG00000064347.1	MT	5018	5086	mt-Ta
ENSMUSG00000064346	ENSMUSG00000064346.1	MT	4950	5016	mt-Tw
ENSMUSG00000064345	ENSMUSG00000064345.1	MT	3914	4951	mt-Nd2
ENSMUSG00000064344	ENSMUSG00000064344.1	MT	3845	3913	mt-Tm
ENSMUSG00000064343	ENSMUSG00000064343.1	MT	3772	3842	mt-Tq
ENSMUSG00000064342	ENSMUSG00000064342.1	MT	3706	3774	mt-Ti
ENSMUSG00000064341	ENSMUSG00000064341.1	MT	2751	3707	mt-Nd1
ENSMUSG00000064340	ENSMUSG00000064340.1	MT	2676	2750	mt-Tl1
ENSMUSG00000064339	ENSMUSG00000064339.1	MT	1094	2675	mt-Rnr2
ENSMUSG00000064338	ENSMUSG00000064338.1	MT	1025	1093	mt-Tv
ENSMUSG00000064337	ENSMUSG00000064337.1	MT	70	1024	mt-Rnr1
ENSMUSG00000064336	ENSMUSG00000064336.1	MT	1	68	mt-Tf
ENSMUSG00000085805	ENSMUSG00000085805.1	2	151104892	151106326	Gm14145
ENSMUSG00000112742	ENSMUSG00000112742.1	10	130542347	130571793	Gm31793
ENSMUSG00000085302	ENSMUSG00000085302.3	14	53738375	53738838	Trav8-2
ENSMUSG00000096607	ENSMUSG00000096607.1	15	85492736	85503227	7530416G11Rik
