Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	FPKM	Gene name
7	45567794	45575327	0.188779	0610005C13RIK
11	51685386	51688874	10.1314	0610009B22RIK
11	120348678	120351190	2.4967900000000003	0610009L18RIK
11	23564961	23633639	10.0701	0610010F05RIK
11	70235206	70237914	37.8224	0610010K14RIK
16	31947050	31948494	30.0496	0610012G03RIK
6	72347317	72353148	8.05529	0610030E20RIK
3	138210716	138240405	0.0	0610031O16RIK
8	77517056	77523898	0.021204499999999998	0610038B21RIK
2	163644850	163645801	6.02669	0610039K10RIK
5	143329247	143332704	2.51583	0610040B10RIK
6	108577039	108660934	0.0907788	0610040F04RIK
5	63812363	63899625	0.016961	0610040J01RIK
4	101353783	101399181	0.366142	0610043K17RIK
18	10987944	11052567	0.0	1010001N08RIK
12	3403878	3427011	0.61348	1110002L01RIK
7	116039397	116105210	54.0982	1110004F10RIK
5	115631049	115631816	0.651541	1110006O24RIK
2	32377097	32381938	28.4534	1110008P14RIK
X	70385877	70389417	15.1049	1110012L19RIK
3	4797558	4814911	0.0	1110015O18RIK
4	41505009	41517333	0.0840417	1110017D15RIK
6	13871526	14044385	1.14447	1110019D14RIK
17	84917182	84957710	0.9024610000000001	1110020A21RIK
16	89063412	89064002	0.0	1110025L11RIK
11	87701396	87705331	6.05601	1110028F11RIK
8	106587143	106594820	0.0	1110028F18RIK
9	50762828	50775520	14.9196	1110032A03RIK
3	68869586	68872163	0.0120434	1110032F04RIK
17	34950238	34952471	6.9879999999999995	1110038B12RIK
15	76948506	76950979	19.0327	1110038F14RIK
13	33935567	33960181	3.3037400000000003	1110046J04RIK
2	91275068	91444704	14.4897	1110051M20RIK
19	21581202	21652976	19.3037	1110059E24RIK
9	122945089	122951000	4.65998	1110059G10RIK
4	124849080	124851196	3.7118	1110065P20RIK
8	120608602	120647632	0.39348	1190005I06RIK
10	82619851	82623228	6.29582	1190007I07RIK
16	21794318	21809040	8.21152	1300002E11RIK
9	103250521	103305082	0.0	1300017J02RIK
3	88782943	88832547	1.04403	1500004A13RIK
15	82252397	82260753	0.0	1500009C09RIK
10	83722865	83762762	0.0	1500009L16RIK
5	114808196	114823468	9.911439999999999	1500011B03RIK
7	75308696	75331419	0.0	1500012K07RIK
18	61726390	61735917	3.1316599999999997	1500015A07RIK
19	20324856	20444883	0.0	1500015L24RIK
16	95756541	95929077	0.0	1600002D24RIK
10	80172944	80175146	6.51087	1600002K03RIK
7	109998376	110151202	0.183834	1600010M07RIK
17	14943184	14959570	10.834000000000001	1600012H06RIK
7	38183217	38197568	6.20331	1600014C10RIK
17	45732864	45733844	0.07700139999999998	1600014C23RIK
16	35503170	35509419	0.0	1600019K03RIK
6	86526247	86582466	8.44767	1600020E01RIK
5	45668702	45669708	0.640848	1600023N17RIK
X	56317608	56320664	0.0	1600025M17RIK
8	103343878	103347534	0.0	1600027J07RIK
9	58202897	58208808	0.017579400000000002	1600029O15RIK
5	30466047	30484088	0.0	1700001C02RIK
17	47412734	47437376	0.0244265	1700001C19RIK
8	61281522	61288872	0.0	1700001D01RIK
14	43342383	43347811	0.0	1700001F09RIK
14	66295334	66297129	0.18586	1700001G11RIK
1	33669824	33670712	0.5468350000000001	1700001G17RIK
5	146182441	146185304	0.137441	1700001J03RIK
9	40050365	40053028	0.0882807	1700001J11RIK
12	110667688	110682619	0.467423	1700001K19RIK
19	53248736	53265405	0.167131	1700001K23RIK
15	83353847	83367282	3.97508	1700001L05RIK
13	68597421	68614231	0.0	1700001L19RIK
2	30794769	30803661	0.0	1700001O22RIK
11	97771481	97775918	0.24109299999999997	1700001P01RIK
5	11689253	11769308	0.0	1700003C15RIK
11	98350718	98358283	0.0	1700003D09RIK
6	83156404	83162945	0.0768293	1700003E16RIK
X	93156154	93156873	0.0	1700003E24RIK
2	154547085	154550003	1.8721599999999998	1700003F12RIK
7	116081759	116093159	0.0	1700003G18RIK
3	124556352	124581101	0.0	1700003H04RIK
16	12800579	12848653	0.0	1700003L19RIK
4	129960374	129963657	0.0	1700003M07RIK
13	118555360	118588704	0.0	1700003P14RIK
3	124400989	124426040	0.0	1700006A11RIK
14	119749225	119751564	0.0	1700006F04RIK
13	107687397	107692173	0.0	1700006H21RIK
3	58141707	58163807	0.0	1700007F19RIK
11	59725917	59740154	0.12066199999999999	1700007J10RIK
2	28462001	28466332	0.0	1700007K13RIK
16	33379854	33380727	1.3478700000000001	1700007L15RIK
1	187125138	187127852	0.0	1700007P06RIK
7	127510438	127512869	0.9606950000000001	1700008J07RIK
17	49112263	49113535	0.0	1700008K24RIK
7	44360043	44385820	0.0	1700008O03RIK
3	6615418	6620443	0.0	1700008P02RIK
6	81900464	81910800	0.0	1700009C05RIK
10	77893417	77896114	0.0	1700009J07RIK
4	39450295	39451776	0.0	1700009N14RIK
2	173719415	173722089	0.0	1700010B08RIK
X	95732586	95733265	0.0	1700010D01RIK
3	7925303	7954889	0.0	1700010I02RIK
17	8988333	9011949	3.17402	1700010I14RIK
10	112726888	112785602	0.0	1700010J16RIK
16	66657118	66664626	0.0	1700010K23RIK
13	35167927	35188017	0.0	1700011B04RIK
8	79210431	79248570	0.0	1700011L22RIK
X	102908905	102909651	0.0	1700011M02RIK
6	32050246	32058921	0.0	1700012A03RIK
11	109787651	109828046	0.0	1700012B07RIK
9	14756587	14771030	0.160726	1700012B09RIK
7	111083064	111122684	0.656281	1700012D14RIK
15	67226769	67377094	0.260567	1700012I11RIK
4	144418189	144438772	0.0	1700012P22RIK
6	124347598	124357069	0.0	1700013D24RIK
3	108534150	108544723	0.0	1700013F07RIK
4	137453284	137455461	0.0	1700013G24RIK
X	53742901	53757831	0.0	1700013H16RIK
5	5437827	5479143	0.0	1700015F17RIK
